X,Y,Z,Roll ,Pitch,Yaw
-151,86.25,0,0,0,0
-152.75,86.25,0,0,0,0
-225.75,82.5,0.113190551,11.05,-4.65,2.57
76,13.75,0.010663337,18.5,0,0
146,-99,-1204857.87,-23.01,0,0
-226.75,84.75,0.112882167,11.29,-4.64,2.58
75.5,13.5,0,0,0,0
-228.25,86.75,0.112774084,11.24,-4.66,2.6
75.5,12.75,0,0,0,0
-229.5,89.25,0.113081664,11.55,-4.64,2.58
76.5,12.5,0,0,0,0
40.25,-7.25,0.04641616,22.09,-0.5,-0.87
-154.25,101,nan,0,0,0
0,0.75,0.000453289,22.89,-0.9,-0.86
0,1,0.000752035,22.67,-3.98,2.27
0.75,0.75,-0.00162174,22.79,-0.88,-0.86
0.25,1,-0.001829232,22.8,-4.01,2.28
0.5,1,0.000228002,22.62,-0.86,-0.87
0.25,0.5,0.000110729,22.64,-4.01,2.27
0.25,0.75,-0.001072561,22.76,-0.87,-0.86
0,0,0,22.71,-0.87,-0.86
-42.25,1,-0.078865369,20.03,-1.19,-0.7
-257.5,127.25,0.097866027,2.29,-1.57,2.8
70.5,-32,0.02939052,-14.17,-1.7,-0.33
0.25,0.5,-0.000139116,12.6,-0.99,-0.56
1,1,-0.000361567,12.74,-0.93,-0.58
1,0.75,-0.000722339,12.65,-4.01,2.53
1.25,0.75,0.002433716,13.09,-0.9,-0.61
1,1,0.003930848,12.96,-0.87,-0.61
1,0.5,-0.001589199,13.38,-3.95,2.51
2,0.25,0.001956809,13.27,-0.8,-0.63
69.5,18.75,nan,0,0,0
-223,103,0.11221962,15.7,-4.46,2.48
-80.25,26.25,-0.039177081,1.13,-1.41,2.8
82,-25.5,0.033929153,-11,-4.63,2.7
1.25,0.5,-0.000610219,14.3,-3.9,2.47
1.5,0.75,9.91E-05,14.34,-0.75,-0.67
1.5,0.75,-0.002751526,14.26,-3.83,2.44
1,0,0,14.45,-3.88,2.44
1.5,1,0,14.75,-0.79,-0.69
1.25,1.25,-0.000996007,14.71,-3.87,2.44
0.5,1,0.002162373,14.69,-3.86,2.44
1.5,1.25,-0.00030982,14.67,-0.75,-0.69
1,1,0,14.6,-0.73,-0.69
-93,18,-0.037958422,0.85,-1.44,2.8
94,-17,0.031947486,-10.13,-1.45,-0.46
1.25,1,0.000154692,14.79,-0.74,-0.68
1.25,0.5,-0.002918062,14.79,-0.7,-0.7
1,0.5,-0.003152943,14.43,-0.73,-0.69
1,0.75,-0.002702618,14.74,-0.74,-0.7
1.5,1.25,-0.000845586,14.92,-0.74,-0.7
0.75,0.75,-0.001972814,14.55,-3.84,2.43
0.75,0.75,-0.00464063,14.81,-0.76,-0.7
63,4,nan,0,0,0
-68,-25.25,-0.099333113,19.23,-1.26,-0.7
0,0,0,19.3,-0.85,-0.7
69,26.75,0.050798722,25.01,-0.36,-0.94
0.5,0.75,-0.000160634,24.9,-3.9,2.19
1,1.5,0.001660627,24.94,-3.91,2.2
2,2.25,-0.001071669,25.02,-0.77,-0.94
1.5,2.75,0.002924612,25.03,-0.76,-0.94
1.25,3.75,0.003066323,24.93,-3.89,2.19
1.25,4,0.00149729,25.02,-0.78,-0.95
1,4.75,0.004151908,24.94,-0.77,-0.95
1.5,4.5,0.001992137,24.99,-0.76,-0.95
1,4.75,0.002467359,24.93,-0.77,-0.95
-80,-55.75,-0.13118512,19.2,-1.27,-0.7
-257.5,127.25,0.097866027,2.29,-1.57,2.8
126,21,0.020337926,-8.89,-1.41,-0.48
2.5,3.25,-0.000589465,14.02,-6.76,-0.73
2.5,3.25,-0.000400989,13.96,-3.66,-3.86
1.75,3.5,0.003023233,13.92,-6.71,-0.74
2.25,3,0.000984472,14.36,-3.59,-3.88
62.5,3.5,nan,0,0,0
0.25,1.75,0.001896554,24.73,-3.89,2.19
0.75,1.25,-0.000952936,24.7,-0.76,-0.95
0.25,1.25,0.002523753,24.77,-3.9,2.19
-87,-83.75,-0.171494153,19.2,-1.27,-0.7
-257.5,127.25,0.097866027,2.29,-1.57,2.8
144.5,42.5,0.028393399,-6.13,-1.18,-0.6
1.25,1.5,0.006305481,15.59,-6.61,-0.84
1,1.25,-0.001475811,15.48,-3.48,-3.98
1.25,1,0.000197411,15.55,-3.5,-3.97
1.5,1,-0.002077145,15.43,-3.5,-3.96
2,0.75,-0.001486072,15.47,-6.61,-0.83
2.5,0,-0.002064456,15.8,-3.51,-3.97
2.25,7.75,0.004866526,15.48,-3.56,-3.96
1.25,0.25,-0.000154872,14.89,-3.5,-3.95
64,14.5,nan,0,0,0
95.5,104.75,0.07323863,24.84,-0.3,-0.97
0.25,0,0.000885196,24.78,-3.87,2.16
0.25,0,-0.000171001,24.92,-0.76,-0.97
-192.5,78,0.120808902,18.49,-1.16,-0.77
-0.5,-0.25,0.007090868,14.55,-3.65,-3.89
-1.25,-1,-0.002440797,13.98,-3.71,-3.86
-0.25,-0.75,0.001823904,13.49,-3.73,-3.84
-0.5,-1.5,0.002089971,13.1,-6.95,-0.67
0,-1,0.006810303,13.4,-3.88,2.48
-0.25,-1.25,0.0003213,13.17,-3.95,2.49
0.75,-0.75,0.001373545,13.27,-0.92,-0.62
-159,-49,-0.052772103,2.47,-1.51,2.8
159.75,49.25,0.041722934,-12.5,-1.61,-0.38
1.75,3.25,0.003195363,13.63,-0.95,-0.62
2,1.5,-0.000148572,13.49,-0.95,-0.61
2.75,2,0.000430481,13.66,-0.94,-0.63
3.5,3,0,14,-1.01,-0.61
4,2.75,-0.002830187,14.01,-0.95,-0.62
4.25,3.25,0.004653869,13.93,-4.07,2.51
5,3,0,14.28,-4.1,2.5
4.25,2.5,0.000239511,14.4,-1,-0.63
3.75,2.5,0.000209755,14.29,-0.98,-0.64
-191,-73.25,-0.062087515,3.13,-1.61,2.8
194.25,75.75,0.047405679,-12.07,-1.54,-0.41
3.25,2.75,0.005347221,14.48,-4.12,2.49
1,0.75,-0.002876538,14.79,-4.15,2.49
1,1,0,14.73,-4.16,2.49
0.5,0.25,0.004238327,14.64,-4.14,2.48
0.25,0,-0.001905776,14.64,-4.15,2.48
66.25,21.25,nan,0,0,0
-0.5,-1.25,0.000265522,25.28,-3.86,2.1
-0.25,-1,-0.003764833,25.56,-0.7,-1.04
-115.5,-145,-0.407027824,19.34,-1.39,-0.7
115.25,142.75,0.085759839,25.41,-3.28,2.09
-0.75,-2.5,-0.003195605,25.23,-0.73,-1.03
-0.25,-2.25,-0.002749622,25.59,-0.71,-1.04
-1.5,-4,-0.002990091,25.28,-0.74,-1.03
-0.75,-3.5,-0.005495249,25.66,-3.83,2.1
-1,-4.75,-0.003618314,25.61,-3.84,2.1
-2.5,-6.75,-0.006911379,25.13,-0.73,-1.02
-1.25,-5.5,-0.004222144,25.62,-3.85,2.11
2.5,6.25,0.012493085,25.25,-3.84,2.1
-2.25,-7,-0.008276156,25.43,-3.87,2.11
-107.5,-112.25,-0.325481248,19.47,-1.4,-0.69
104.75,105,0.079600201,25.08,-0.19,-1.02
-2.75,-7.25,-0.007413225,25.19,-3.89,2.12
-2.75,-7.25,-0.009389855,25.29,-3.87,2.12
-3.25,-7.75,-0.007956068,25.26,-3.9,2.14
-2.25,-6,-0.007801317,25.12,-3.88,2.14
-3.25,-6.75,-0.007441484,25.13,-0.78,-0.98
-3,-7.25,-0.004926072,24.84,-0.79,-0.97
-1.5,-4,-0.005725877,25.15,-0.77,-0.97
-209,70.75,0.119114989,13.73,-1.39,-0.66
-4.75,-4.25,-0.003874152,14.88,-4.22,2.48
-3.75,-3.75,0.002137658,14.96,-4.25,2.49
-126,5.25,-0.034590444,3.91,-1.71,2.8
122.5,-8.5,0.029153249,-12.7,-4.66,2.72
-3.75,-3.5,1.39E-05,14.9,-1.11,-0.64
-3,-3,0,14.92,-1.09,-0.64
-3.25,-2.25,-0.00157186,14.77,-4.22,2.49
-3.75,-13.25,-0.007774093,15.37,-1.06,-0.67
-2.75,-3,0.001664345,15.33,-4.2,2.46
-3.5,-2.25,0.000945776,15.44,-4.25,2.47
-3.5,-2.75,-0.000950186,15.23,-4.22,2.46
-3.5,-2.75,0.001485725,15.22,-1.12,-0.66
-3.75,-2.25,-0.000952086,15.12,-4.2,2.46
-91.75,43.25,-0.028016863,3.96,-1.77,2.8
88,-46.25,0.025054639,-12.53,-1.49,-0.43
-3.25,-2,0.001681309,15.16,-4.25,2.48
61.75,8,nan,0,0,0
-1.75,-1.25,-0.00068227,23.29,-0.88,-0.89
-1.25,-1,-0.00305943,23.06,-3.99,2.24
-1.75,-0.5,-0.001440415,23.12,-0.88,-0.89
-1,-0.25,-0.000317573,23.03,-0.87,-0.88
-0.75,0.25,0.000341243,22.92,-4,2.26
-1,0.5,-0.001311291,22.87,-4.02,2.26
-37.5,17,-0.095374434,20.2,-1.23,-0.7
0,0,0,19.3,-0.85,-0.7
36.75,-16.75,0.048733726,21.98,-0.5,-0.87
-11.25,-8,-0.00677629,22.71,-4.04,2.29
-0.5,0.75,-0.001486173,22.61,-4.02,2.29
-11.5,-22.25,0.003680622,22.48,-4.02,2.29
-0.5,0.75,-0.001508673,22.59,-4.03,2.3
0,1,-0.000996846,22.48,-4.04,2.3
0,0.75,0.000781491,22.51,-4.03,2.3
0.25,1.25,-0.001417463,22.42,-4.04,2.3
0.5,1.5,-0.00021311,22.57,-0.92,-0.83
0.75,0.75,-0.00064789,22.34,-4.02,2.3
-14.5,40.75,-0.075005075,20.31,-1.18,-0.69
14.75,-39.25,0.043486863,21.51,-0.58,-0.82
0.75,1.5,0.000129709,22.3,-4.02,2.31
0.75,1.25,-0.000905232,22.3,-4.03,2.31
0.75,2.25,-0.001603656,22.34,-4.05,2.31
1,2.5,0,22.3,-0.91,-0.82
1,3,0,22.25,-0.91,-0.82
1,3.5,-0.002727858,22.07,-0.91,-0.82
1,3.75,-0.000753035,21.96,-4.05,2.33
-0.5,-1.75,-0.000394174,22.2,-0.91,-0.81
0.5,4.25,-0.002939289,21.92,-0.91,-0.81
-21,18.5,-0.06242037,20.18,-1.13,-0.7
22,-13.75,0.037566626,20.91,-3.76,2.33
0.75,4.25,-0.004155428,21.66,-0.92,-0.79
0.75,5,-0.00288009,21.44,-4.04,2.35
0.75,5.25,-0.00286635,21.14,-4.05,2.36
0.75,5.25,-0.002566117,21.1,-0.93,-0.77
1,5.5,-0.002468159,20.8,-0.92,-0.76
1,5.25,-0.003315677,20.58,-0.91,-0.75
7.25,15.75,-0.00306511,22.35,-0.86,-0.77
4.75,9.25,0.000336807,21.96,-3.92,2.36
3.25,37.25,0.0092836,19.98,-0.88,-0.72
-42.25,-79,-0.043216143,18.34,-0.82,-0.7
42.75,85.25,0.032672094,20.75,-0.81,-0.71
1.75,5.25,0.000808554,19.49,-3.9,2.43
1.75,6.5,0.003161239,19.61,-3.89,2.42
1.25,5,0.003395539,19.22,-3.89,2.43
2,6.25,0.002198542,19.57,-3.89,2.43
1.75,5.75,0.003400069,19.28,-3.88,2.42
2,5.5,0.001892123,19.34,-0.76,-0.71
1.5,5.25,0.003091173,19.21,-3.86,2.42
2.5,4.75,0.004904719,19.28,-3.88,2.42
1.5,15.75,0.005730163,18.69,-3.91,2.44
-58.75,-145.25,-0.094927728,18.16,-0.75,-0.7
-257.5,127.25,0.097866027,2.29,-1.57,2.8
84.5,83,0.060270783,16.15,0,0
4,2,0,49.67,0,0
5.5,5.25,-0.001396112,6.42,0,0
5.5,2.5,-0.00706548,-31.84,-2.6,-2.96
4.5,0.75,-0.000966097,-28.45,-2.39,-2.88
4.25,0.5,0.004133924,-27.66,-2.29,-2.78
3.25,0.5,-0.006846535,-27.1,-2.07,-2.72
4,-1.25,-0.003236156,-25.74,-1.95,-2.66
2,-4.75,-0.000334633,18.88,0,0
4.5,2.75,-0.001292097,9.23,0,0
-122,-91.5,-0.065112966,-19.48,-3.62,0.58
123.5,87.25,0.046421238,19.2,0,0
3,-1,0,7.31,0,0
1.5,0,0.002472388,7.41,0,0
19.5,4,-0.039145376,8.16,0,0
20.25,12.75,0.00184728,-31.36,0,0
2.75,-1,0.000664786,4.64,-6.92,-0.37
0.5,-6.25,2.67E-05,46.28,0,0
4,4.75,-0.003889816,-31.36,0,0
2.5,-1.25,-0.000539172,7.46,-7.31,-0.39
1,-5.5,0.006533036,49.67,0,0
-178.5,-93.5,-0.023862477,-36.72,0,0
183,96.5,0.016068719,-18.85,-2.04,-0.17
3,-1.25,0.001117904,9.77,-4.44,2.73
2,-4.25,0.002124942,52.41,0,0
3,-2,0,10.53,0,0
2.5,-1,0.002261374,10.71,0,0
2,-1,0,10.79,0,0
70,31.5,nan,0,0,0
-5.75,-15.5,-0.027103528,24.71,-3.91,2.15
0,-0.75,0.000843906,24.67,-3.85,2.14
-111,-157.25,-0.312783726,19.17,-1.33,-0.7
111.5,155.75,0.08058345,24.84,-3.37,2.14
1,-2,0.004247357,24.92,-0.71,-1.01
0.75,-1.75,0.003150987,24.99,-3.83,2.12
1.25,-2,0.002081084,25.31,-0.71,-1.02
1,-2.25,0.00554338,25.41,-3.82,2.1
1.25,-2,0.003543732,25.58,-3.81,2.09
1.5,-2.5,0.003487057,25.69,-3.8,2.07
1.75,-2.75,0.004545473,26.06,-0.67,-1.07
1.75,-2.75,0.006298051,26.14,-3.78,2.05
1.75,-2.75,0.004763112,26.54,-0.66,-1.09
-123.5,-135,-0.449133726,19.31,-1.46,-0.7
125.5,132.75,0.088886019,26.77,-0.01,-1.11
2,-1,0.005292021,26.99,-0.62,-1.13
2.25,-0.75,0.008056999,27.09,-3.72,1.99
2.5,0.75,0.008229753,27.33,-3.73,1.98
2.25,1.75,0.009721738,27.6,-0.59,-1.17
2,2.25,0.007658803,27.69,-0.57,-1.17
2.25,3,0.007575523,27.74,-3.68,1.95
2,2.5,0.007171869,27.78,-3.69,1.94
2.5,3,0.012688859,28.04,-0.56,-1.2
2.25,3,0.008434365,28.22,-3.65,1.92
-145.5,-147.25,-0.858474151,19.29,-1.58,-0.7
148,149.25,0.096122024,28.41,0.22,-1.23
2.75,2.5,0.011477322,28.47,-3.62,1.89
1.75,2.5,0.013062527,28.29,-0.49,-1.26
4.5,-10.25,0.012839098,29.35,-0.44,-1.28
-44,12.75,nan,0,0,0
-41,12.75,nan,0,0,0
-129,18,0.048367061,57.72,0,0
88.5,30.5,nan,0,0,0
-115,24,0.012508489,12.72,0,0
87.5,29.5,nan,0,0,0
86,29,nan,0,0,0
0,0,0,19.3,-0.85,-0.7
166,145.25,0.096659808,64.44,0,0
-28,49.5,nan,0,0,0
-26,48.5,nan,0,0,0
1.5,-0.5,0.018728318,19.36,0,0
-103.5,16.5,-0.168992533,13.03,0,0
83.5,28,nan,0,0,0
-103,15.75,-0.227710827,12.87,0,0
84,29.75,nan,0,0,0
0.5,-0.5,0.009869554,19.64,0,0
-11.5,-10,nan,0,0,0
-101.5,15,-0.270934706,13.31,0,0
-329.5,-39.5,-0.023862477,-40.63,0,0
413,68.5,nan,0,0,0
83,28.5,nan,0,0,0
85,29,nan,0,0,0
84,28.5,nan,0,0,0
-12.5,-10,nan,0,0,0
-13.5,-9.5,nan,0,0,0
-13.5,-9,nan,0,0,0
-16.5,11.5,nan,0,0,0
82.25,26.25,0.010196844,0,0,0
7.75,-55.25,nan,0,0,0
-17.5,-6,nan,0,0,0
163.5,118.25,0.097068224,64.5,0,0
-18.5,-4.5,nan,0,0,0
-46.25,-4.75,nan,0,0,0
-46.25,-4.75,nan,0,0,0
-46.25,-4.75,nan,0,0,0
-46.25,-4.75,nan,0,0,0
-46.25,-4.75,nan,0,0,0
-17,-8,0.013785078,22.16,0,0
17,8,-234334.3158,19.73,0,0
-17,-8,0.013785078,22.16,0,0
17,8,-234334.3158,19.73,0,0
-17,-8,0.013785078,22.16,0,0
17,8,-234334.3158,19.73,0,0
-17,-8,0.013785078,22.16,0,0
-149.5,-98.25,-1247087.884,-25.68,0,0
166.5,106.25,0.096242094,64.7,0,0
-17,-8,0.013785078,22.16,0,0
17,8,-234334.3158,19.73,0,0
-17,-8,0.013785078,22.16,0,0
17,8,-234334.3158,19.73,0,0
-17,-8,0.013785078,22.16,0,0
15,4,-248198.9463,19.62,0,0
-20.5,-6,0.015006072,22.13,0,0
17,2,-177694.1723,19.41,0,0
-23,-4,0.013604948,22.13,0,0
20,1.5,-192125.5,19.23,0,0
-25.5,-2.5,0.010935,22.17,0,0
27.75,6.25,-315831.9416,-16.73,0,0
-34.75,-8.25,0.014445694,17.85,0,0
33.25,7.5,-118863.0821,-15.65,0,0
-40.75,-7.5,0.00786256,67.45,0,0
37,5.75,-650157.1199,-16.13,0,0
-43.5,-6.75,0.005342073,67.5,0,0
41.5,6.5,-1934242.206,-15.93,0,0
-47.5,-7,0.005096168,11.24,0,0
-105.5,-89.75,-6498757.291,-25.68,0,0
-257.5,127.25,0.097866027,2.29,-1.57,2.8
332,-12,0.013732625,41.09,0,0
-91.75,-29.75,-145889.2273,12.5,0,0
57.25,-2.5,0.01858341,52.87,-0.81,-1.46
86,-67.25,-95185.63102,29.34,-3.85,1.92
-180.5,40,0.109625377,57.85,0,0
91,27.5,0.016439458,8.62,0,0
89.5,-66.25,-132907.2872,29.39,-0.72,-1.21
-182,39.25,0.108368721,57.2,-4.3,2.25
94.5,29,0.016264582,53.77,-0.93,-1.42
88.5,-66,-131394.9561,29.48,-0.7,-1.22
-181.75,39.25,0.106868061,56.9,-1.16,-0.89
96.25,30.25,0.017087063,51.74,-0.64,-1.58
87,-65.25,-108990.1788,29.49,-3.82,1.91
-180,35.75,0.104801119,54.99,-1.06,-0.91
97.5,34,0.01132773,69.96,0,0
-46,-93.25,-809151.8227,-25.67,0,0
130.75,30,0.086939268,29.46,0.22,-1.23
-201.75,44.25,nan,0,0,0
-178,34,0.100505754,55.07,-4.25,2.25
99.5,36.5,0.012526071,25.01,0,0
85.5,-31.25,-219050.2146,-15.88,0,0
-72.5,58.75,nan,0,0,0
-186,34.5,nan,0,0,0
-66.25,20,0.004186455,67.43,0,0
67.75,-14,-2318473.384,-15.96,0,0
-159.25,20.75,0.085237648,52.03,-1.06,-0.89
96.75,34,0.009348161,43.38,0,0
66,-48.75,-558768.4224,29.32,0,0
-155.5,23,0.082496881,55.31,-4.36,2.27
95.25,37.5,0.010445327,20.62,0,0
-87.5,-160.75,-1247087.884,-25.67,0,0
150.25,112.75,0.095900157,29.23,-2.82,1.86
-149.25,23.5,0.083815956,57.15,0,0
89.75,33.75,0.009981767,-2.18,0,0
61,-48.75,-515968.3539,29.49,0,0
-144.75,22.5,0.080607251,57.33,0,0
88.5,33,nan,0,0,0
85.75,31.75,0.009188297,-4.3,0,0
58.25,-50,-701425.27,29.39,0,0
-141,23.25,0.079698434,13.89,-1.24,-0.89
85,29.5,nan,0,0,0
83.5,28.75,nan,0,0,0
-141,21.75,0.079585309,57.37,0,0
84.5,29.5,nan,0,0,0
-270,-23,-0.021040246,-40.19,0,0
354,52.5,nan,0,0,0
-142,23,0.079107802,57.32,0,0
82.5,28.5,nan,0,0,0
-3.25,36.5,0.01106944,27.86,-0.57,-1.23
-0.75,-3,-0.005536536,27.94,-3.65,1.9
-1,-3.5,-0.004066501,27.91,-3.67,1.91
-1.25,-4.25,-0.007513958,27.99,-3.68,1.91
-1.5,-5.75,-0.007421346,27.79,-3.67,1.92
-1.5,-5.25,-0.008735416,28.1,-0.56,-1.21
-143.5,-138,-0.852429213,19.34,-1.58,-0.7
141.5,131.75,0.095089956,27.64,0.16,-1.2
-2.25,-6.25,-0.00895254,27.7,-0.56,-1.2
-2,-6,-0.008950179,27.78,-0.59,-1.19
-2.75,-6.25,-0.00974722,27.67,-0.58,-1.18
-1.75,-5.5,-0.01180606,27.64,-3.71,1.95
-2.75,-7,-0.004794444,27.44,-0.61,-1.17
-2.25,-5.25,-0.010071845,27.31,-0.61,-1.16
-2,-5.5,-0.009934698,27.48,-0.62,-1.16
-167.75,48.25,0.109385504,16,-4.4,2.31
-4.75,-2.75,0.000765095,18.04,-1.01,-0.84
-5.25,-2.25,-0.000440595,18.56,-4.15,2.3
-150,-13.5,nan,0,0,0
-2,-11,-0.010212288,27.35,-0.65,-1.13
-2,-2.75,-0.00621825,27.24,-0.65,-1.12
-2,-2,-0.004652,27.13,-0.66,-1.12
-1.5,-0.75,-0.004554434,27.02,-0.67,-1.11
-1.5,-0.25,-0.004473676,26.88,-3.81,2.04
-1.25,0.25,-0.002291188,26.92,-0.68,-1.09
3,-18.75,-0.002409295,27.66,-3.73,2.01
-183.75,61,0.116188954,16.23,-4.33,2.29
-3,1.25,0.002291239,18.21,-4.15,2.29
-2.5,1.75,-0.003842192,18.53,-4.13,2.28
-180,22.5,0.00196016,3.9,-2.03,2.8
0,0,0,-23.88,-2.17,3.04
177.5,-21.5,0.000864617,-9.35,-1.15,-0.61
-2.5,1,0.002080303,18.35,-1,-0.84
-2,2,-0.000600114,19.23,-0.95,-0.86
188.5,-66.5,-0.563471039,28.35,-0.5,-1.09
-189.75,68,0.117923644,18.68,-4.21,2.25
-2.25,1,0.00536973,19.62,-4.07,2.26
-1.5,1,0.002109374,19.51,-4.04,2.26
-2,0.5,0.000700696,19.26,-4.07,2.28
64.5,23,nan,0,0,0
-0.75,-0.75,-0.001203456,26.82,-3.84,2.08
-98.5,-39.5,-0.22617094,19.35,-1.42,-0.7
98.25,38.75,0.071860895,26.72,-3.25,2.08
-0.75,-0.5,0.000558211,26.71,-0.7,-1.06
0,0,-0.002350377,26.73,-3.82,2.07
-0.5,0.5,-0.000669246,26.71,-0.7,-1.06
-192.25,65.5,0.119758673,53.31,-4.29,2.33
308.25,-192.5,0,0,0,0
-0.25,0.75,0.002019388,26.67,-0.7,-1.06
0.75,1.75,-0.000959375,26.59,-3.82,2.08
0.75,3,0.004557423,26.71,-3.84,2.08
0,1.5,0.000385906,26.62,-0.7,-1.06
-99,-47.25,-0.226976684,19.35,-1.42,-0.7
-257.5,127.25,0.097866027,2.29,-1.57,2.8
170.5,-8,0.037967265,29.59,0,0
76,-8.5,nan,0,0,0
-184.5,67.5,0.1230662,11.14,-4.42,2.38
3,5.5,0.001939335,13.86,-4.39,2.39
75.5,-6,0,0,0,0
1.25,6.5,0.006215451,26.57,-0.69,-1.06
1.75,6,0.004262949,26.46,-3.8,2.07
1.25,5,0.006900824,26.5,-0.69,-1.07
-5,-3.5,-0.020004368,26.44,-0.73,-1.04
-105.5,-90.75,-0.28322725,19.26,-1.39,-0.7
107.25,96.25,0.079561806,26.35,-3.28,2.09
-176.25,66.25,0.127716551,11.02,-1.36,-0.72
1.5,1.25,-0.007289021,13.6,-1.28,-0.72
1.5,1.75,0.007051873,13.82,-1.29,-0.72
3,1.75,-0.002610535,13.94,-1.26,-0.73
1,0.25,0.002579549,13.87,-1.27,-0.73
2,0.5,-0.005096049,14.01,-1.25,-0.74
2,-0.75,0.00242853,14.11,-1.24,-0.75
0.5,-0.25,-0.005297234,14,-1.25,-0.74
0.5,0,0.002773323,14.14,-1.23,-0.75
0.5,-0.25,-0.005399363,14.09,-1.24,-0.75
-201,-39.75,-0.084690401,4.85,-2.06,2.8
201,40,0.061615752,-14.55,-1.32,-0.52
0,0,0,14.08,-1.24,-0.75
0.5,5.75,0.00357159,13.62,-1.28,-0.73
-0.25,0.5,0.006427592,13.74,-1.29,-0.72
0,0,0,13.73,-1.27,-0.72
0,1,0,13.68,-1.28,-0.72
3,17,-0.000498784,15.87,-4.38,2.4
0,0,0,15.32,-4.3,2.4
0,0,0,15.32,-4.3,2.4
0,0,0,15.32,-4.3,2.4
-204.25,-64,-0.099307448,4.44,-1.96,2.8
204.25,64,0.067045449,-13,-4.5,2.64
0,0,0,15.32,-4.3,2.4
0,0,0,15.32,-4.3,2.4
0,0,0,15.32,-4.3,2.4
0,0,0,15.32,-4.3,2.4
0,0,0,15.32,-4.3,2.4
0,0,0,15.32,-4.3,2.4
0,0,0,15.32,-4.3,2.4
0,0,0,15.32,-4.3,2.4
-0.25,0,0.00180675,15.41,-4.31,2.41
-204,-64,-0.101938221,4.38,-1.95,2.8
204,64,0.068251961,-12.91,-4.51,2.64
0,0,0,15.35,-4.3,2.41
0.25,-0.5,-0.002441105,15.07,-4.28,2.4
0.5,-0.5,0.005529153,14.83,-4.31,2.4
0.75,-1,-0.000388306,14.42,-4.36,2.41
1,-2,0.006549312,13.94,-1.23,-0.73
3.75,11.25,0.002857709,23.92,-4,2.21
0,-0.5,0.004948477,20.56,-0.72,-0.92
-2.75,-12.75,-0.002571445,10.26,-1.08,-0.74
3,12.25,0.002559577,24.05,-4.05,2.22
-210.5,-70.5,-0.130754254,1.41,-1.86,2.8
210.5,70.5,0.080244059,-4.56,-4.11,2.45
0,0.25,0.001910595,20.71,-3.85,2.22
0.25,0.5,-0.005990976,21.78,-3.77,2.19
0,0.75,5.24E-05,21.7,-0.64,-0.95
-1.25,-1,-0.002239728,19.81,-3.86,2.23
-0.75,0.5,-0.002483741,20.16,-0.72,-0.9
-3.75,-12.75,-0.003567513,9.6,-1.11,-0.7
3,14,-0.004429433,23.82,-0.95,-0.88
-4.25,-13.5,-0.000318133,9.16,-1.13,-0.66
-1.5,0.25,-0.003334094,13.28,-1.36,-0.65
-202.25,-59.5,-0.100279777,5.4,-1.95,2.8
201.75,60,0.06909491,-15.99,-1.54,-0.4
-1.5,0.5,-0.003274518,13.18,-4.45,2.49
-1.75,2.75,-0.005558246,14.23,-1.37,-0.64
-1.5,-1.5,-0.002365541,13.01,-4.46,2.52
-1.75,1,0.005215892,13.54,-4.46,2.51
-1.25,0.5,-0.007155494,13.43,-1.38,-0.6
8.5,3.5,-0.002843875,13.79,-4.42,2.52
-1.5,1,-0.006245271,13.69,-4.47,2.53
-1.5,1.25,0.001544253,13.74,-4.45,2.54
-1.5,1.25,0.001118224,13.85,-1.3,-0.59
-198,-70,-0.07462274,5.27,-1.79,2.8
195.75,71.75,0.055721737,-15.08,-1.68,-0.35
-2.25,1.25,-0.001993737,13.54,-1.25,-0.58
-1.75,1.5,0.002705166,13.44,-4.39,2.56
-1.75,1,0.000785694,13.38,-1.28,-0.56
-2.25,0.75,0.002722904,13.16,-4.37,2.58
-1.25,1.25,0.000206884,13.17,-1.26,-0.55
-1,0.5,0.000955124,13.09,-1.2,-0.55
-0.75,0.75,0.002043108,13.29,-4.32,2.59
-0.25,3,0.000128753,12.76,-1.14,-0.55
-0.5,0,-0.001756955,12.74,-1.12,-0.55
-184,-81.75,-0.084555608,3.68,-1.53,2.8
55.5,-7.5,nan,0,0,0
0,0,0,24.79,-3.88,2.15
0.25,-0.5,-0.001463966,24.8,-3.87,2.15
-0.25,-0.25,-0.001930291,24.8,-0.75,-0.99
0,-0.75,0.000903145,24.89,-0.74,-0.98
-0.25,-1,0.00016512,24.77,-3.87,2.15
0,-1,0,24.82,-3.88,2.15
0,0.25,-0.001354415,24.81,-3.86,2.14
0,0,0,24.79,-3.87,2.14
0,0,0,24.79,-3.87,2.14
-107.25,-144,-0.334735851,19.28,-1.33,-0.7
107.25,143.75,0.08201431,24.82,-3.39,2.15
0,0,0,24.83,-3.88,2.15
0,0.25,-0.001354415,24.81,-3.86,2.14
0,0,0,24.79,-3.87,2.14
-0.25,0.25,-0.0019163,24.81,-0.75,-0.99
0.5,0.5,0.003374796,24.78,-3.88,2.15
0,0,-0.000330975,24.93,-0.74,-0.99
0,0.75,-0.000909034,24.83,-0.73,-0.99
0.25,0.25,0.001903953,24.83,-3.86,2.15
0,0.75,0.001352923,24.82,-0.75,-0.99
-107.75,-146.5,-0.346302858,19.29,-1.33,-0.7
108,147.25,0.08223593,24.89,-0.27,-0.98
0.25,1,0.001009973,24.78,-3.86,2.15
0,0.75,0.002204415,24.97,-0.77,-0.98
0.25,0.75,0.000102398,24.79,-3.86,2.15
